exp_id,year,month,state,district,department,scheme,budget_allocated,amount_spent,cumulative_rate,utilization_rate,project_count,pattern_type
1,2023,1,Uttar Pradesh,Varanasi,Health,NHM,75011618.85,1275267.14,0.017,1.7,4,severe_underutil
2,2023,2,Uttar Pradesh,Varanasi,Health,NHM,75011618.85,1275267.14,0.034,1.7,12,severe_underutil
3,2023,3,Uttar Pradesh,Varanasi,Health,NHM,75011618.85,1275267.14,0.051,1.7,11,severe_underutil
4,2023,4,Uttar Pradesh,Varanasi,Health,NHM,75011618.85,1275267.14,0.068,1.7,11,severe_underutil
5,2023,5,Uttar Pradesh,Varanasi,Health,NHM,75011618.85,1275267.14,0.085,1.7,8,severe_underutil
6,2023,6,Uttar Pradesh,Varanasi,Health,NHM,75011618.85,1275267.14,0.102,1.7,7,severe_underutil
7,2023,7,Uttar Pradesh,Varanasi,Health,NHM,75011618.85,1275267.14,0.119,1.7,21,severe_underutil
8,2023,8,Uttar Pradesh,Varanasi,Health,NHM,75011618.85,1275267.14,0.136,1.7,6,severe_underutil
9,2023,9,Uttar Pradesh,Varanasi,Health,NHM,75011618.85,1275267.14,0.153,1.7,22,severe_underutil
10,2023,10,Uttar Pradesh,Varanasi,Health,NHM,75011618.85,1275267.14,0.17,1.7,17,severe_underutil
11,2023,11,Uttar Pradesh,Varanasi,Health,NHM,75011618.85,1275267.14,0.187,1.7,5,severe_underutil
12,2023,12,Uttar Pradesh,Varanasi,Health,NHM,75011618.85,1275267.14,0.204,1.7,4,severe_underutil
13,2023,1,Uttar Pradesh,Varanasi,Education,SSA,56198948.61,2454718.66,0.0437,4.37,8,normal
14,2023,2,Uttar Pradesh,Varanasi,Education,SSA,56198948.61,1891266.82,0.0773,3.37,10,normal
15,2023,3,Uttar Pradesh,Varanasi,Education,SSA,56198948.61,2477127.39,0.1214,4.41,14,normal
16,2023,4,Uttar Pradesh,Varanasi,Education,SSA,56198948.61,3335911.84,0.1808,5.94,7,normal
17,2023,5,Uttar Pradesh,Varanasi,Education,SSA,56198948.61,2231026.46,0.2205,3.97,6,normal
18,2023,6,Uttar Pradesh,Varanasi,Education,SSA,56198948.61,1332438.63,0.2442,2.37,16,normal
19,2023,7,Uttar Pradesh,Varanasi,Education,SSA,56198948.61,3806136.99,0.3119,6.77,7,normal
20,2023,8,Uttar Pradesh,Varanasi,Education,SSA,56198948.61,3540407.34,0.3749,6.3,15,normal
21,2023,9,Uttar Pradesh,Varanasi,Education,SSA,56198948.61,0.0,0.3749,0.0,15,normal
22,2023,10,Uttar Pradesh,Varanasi,Education,SSA,56198948.61,5246011.06,0.4682,9.33,23,normal
23,2023,11,Uttar Pradesh,Varanasi,Education,SSA,56198948.61,1934585.54,0.5027,3.44,12,normal
24,2023,12,Uttar Pradesh,Varanasi,Education,SSA,56198948.61,41268.43,0.5034,0.07,5,normal
25,2023,1,Uttar Pradesh,Varanasi,Agriculture,PMKSY,51308137.73,88284.65,0.0017,0.17,21,flatline
26,2023,2,Uttar Pradesh,Varanasi,Agriculture,PMKSY,51308137.73,88284.65,0.0034,0.17,7,flatline
27,2023,3,Uttar Pradesh,Varanasi,Agriculture,PMKSY,51308137.73,88284.65,0.0052,0.17,16,flatline
28,2023,4,Uttar Pradesh,Varanasi,Agriculture,PMKSY,51308137.73,88284.65,0.0069,0.17,6,flatline
29,2023,5,Uttar Pradesh,Varanasi,Agriculture,PMKSY,51308137.73,88284.65,0.0086,0.17,21,flatline
30,2023,6,Uttar Pradesh,Varanasi,Agriculture,PMKSY,51308137.73,88284.65,0.0103,0.17,13,flatline
31,2023,7,Uttar Pradesh,Varanasi,Agriculture,PMKSY,51308137.73,88284.65,0.012,0.17,24,flatline
32,2023,8,Uttar Pradesh,Varanasi,Agriculture,PMKSY,51308137.73,88284.65,0.0138,0.17,23,flatline
33,2023,9,Uttar Pradesh,Varanasi,Agriculture,PMKSY,51308137.73,88284.65,0.0155,0.17,15,flatline
34,2023,10,Uttar Pradesh,Varanasi,Agriculture,PMKSY,51308137.73,599844.01,0.0272,1.17,22,flatline
35,2023,11,Uttar Pradesh,Varanasi,Agriculture,PMKSY,51308137.73,1367183.06,0.0538,2.66,10,flatline
36,2023,12,Uttar Pradesh,Varanasi,Agriculture,PMKSY,51308137.73,1367183.06,0.0805,2.66,6,flatline
37,2023,1,Uttar Pradesh,Varanasi,Infrastructure,PMGSY,82919742.25,97160.49,0.0012,0.12,11,march_rush
38,2023,2,Uttar Pradesh,Varanasi,Infrastructure,PMGSY,82919742.25,97160.49,0.0023,0.12,13,march_rush
39,2023,3,Uttar Pradesh,Varanasi,Infrastructure,PMGSY,82919742.25,97160.49,0.0035,0.12,6,march_rush
40,2023,4,Uttar Pradesh,Varanasi,Infrastructure,PMGSY,82919742.25,97160.49,0.0047,0.12,11,march_rush
41,2023,5,Uttar Pradesh,Varanasi,Infrastructure,PMGSY,82919742.25,97160.49,0.0059,0.12,7,march_rush
42,2023,6,Uttar Pradesh,Varanasi,Infrastructure,PMGSY,82919742.25,97160.49,0.007,0.12,16,march_rush
43,2023,7,Uttar Pradesh,Varanasi,Infrastructure,PMGSY,82919742.25,97160.49,0.0082,0.12,12,march_rush
44,2023,8,Uttar Pradesh,Varanasi,Infrastructure,PMGSY,82919742.25,97160.49,0.0094,0.12,18,march_rush
45,2023,9,Uttar Pradesh,Varanasi,Infrastructure,PMGSY,82919742.25,4365597.57,0.062,5.26,24,march_rush
46,2023,10,Uttar Pradesh,Varanasi,Infrastructure,PMGSY,82919742.25,11953930.16,0.2062,14.42,15,march_rush
47,2023,11,Uttar Pradesh,Varanasi,Infrastructure,PMGSY,82919742.25,11953930.16,0.3503,14.42,9,march_rush
48,2023,12,Uttar Pradesh,Varanasi,Infrastructure,PMGSY,82919742.25,11953930.16,0.4945,14.42,15,march_rush
49,2023,1,Uttar Pradesh,Varanasi,Water Supply,JJM,38263248.4,571482.45,0.0149,1.49,24,healthy
50,2023,2,Uttar Pradesh,Varanasi,Water Supply,JJM,38263248.4,506425.2,0.0282,1.32,6,healthy
51,2023,3,Uttar Pradesh,Varanasi,Water Supply,JJM,38263248.4,899795.68,0.0517,2.35,23,healthy
52,2023,4,Uttar Pradesh,Varanasi,Water Supply,JJM,38263248.4,1483334.14,0.0905,3.88,24,healthy
53,2023,5,Uttar Pradesh,Varanasi,Water Supply,JJM,38263248.4,2167375.4,0.1471,5.66,9,healthy
54,2023,6,Uttar Pradesh,Varanasi,Water Supply,JJM,38263248.4,2667119.24,0.2168,6.97,21,healthy
55,2023,7,Uttar Pradesh,Varanasi,Water Supply,JJM,38263248.4,2667119.24,0.2865,6.97,11,healthy
56,2023,8,Uttar Pradesh,Varanasi,Water Supply,JJM,38263248.4,2167375.4,0.3431,5.66,9,healthy
57,2023,9,Uttar Pradesh,Varanasi,Water Supply,JJM,38263248.4,1483334.14,0.3819,3.88,18,healthy
58,2023,10,Uttar Pradesh,Varanasi,Water Supply,JJM,38263248.4,899795.68,0.4054,2.35,16,healthy
59,2023,11,Uttar Pradesh,Varanasi,Water Supply,JJM,38263248.4,506425.2,0.4187,1.32,12,healthy
60,2023,12,Uttar Pradesh,Varanasi,Water Supply,JJM,38263248.4,273072.09,0.4258,0.71,24,healthy
61,2023,1,Uttar Pradesh,Varanasi,Social Welfare,PMAY,59161120.9,72232.22,0.0012,0.12,11,flatline
