release_id,year,month,state,district,department,scheme,from_level,to_level,from_entity,to_entity,amount_released,amount_received,absorption_ratio,gap_amount
1,2023,1,Karnataka,Belagavi,Agriculture,PMKSY,Central,State,Central Government,Karnataka,5098028.73,5041950.41,0.989,56078.32
2,2023,1,Karnataka,Belagavi,Agriculture,PMKSY,State,District,Karnataka,Belagavi,4974386.75,4824657.71,0.9699,149729.04
3,2023,1,Karnataka,Belagavi,Agriculture,PMKSY,District,Department,Belagavi,Agriculture - PMKSY,4621061.65,4287421.0,0.9278,333640.65
4,2023,1,Karnataka,Belagavi,Education,SSA,Central,State,Central Government,Karnataka,7098729.82,6942557.76,0.978,156172.06
5,2023,1,Karnataka,Belagavi,Education,SSA,State,District,Karnataka,Belagavi,6804093.66,6401291.32,0.9408,402802.34
6,2023,1,Karnataka,Belagavi,Education,SSA,District,Department,Belagavi,Education - SSA,6087815.12,5588005.5,0.9179,499809.62
7,2023,1,Karnataka,Belagavi,Health,NHM,Central,State,Central Government,Karnataka,8261093.54,8047957.33,0.9742,213136.21
8,2023,1,Karnataka,Belagavi,Health,NHM,State,District,Karnataka,Belagavi,7718725.44,7326614.19,0.9492,392111.25
9,2023,1,Karnataka,Belagavi,Health,NHM,District,Department,Belagavi,Health - NHM,7071736.76,6691277.32,0.9462,380459.44
10,2023,1,Karnataka,Belagavi,Infrastructure,PMGSY,Central,State,Central Government,Karnataka,9335609.84,8102375.78,0.8679,1233234.06
11,2023,1,Karnataka,Belagavi,Infrastructure,PMGSY,State,District,Karnataka,Belagavi,7945130.09,6499910.93,0.8181,1445219.16
12,2023,1,Karnataka,Belagavi,Infrastructure,PMGSY,District,Department,Belagavi,Infrastructure - PMGSY,6269861.09,5119968.57,0.8166,1149892.52
13,2023,1,Karnataka,Belagavi,Rural Development,MGNREGS,Central,State,Central Government,Karnataka,7105151.08,7003547.42,0.9857,101603.66
14,2023,1,Karnataka,Belagavi,Rural Development,MGNREGS,State,District,Karnataka,Belagavi,6723291.29,6492682.4,0.9657,230608.89
15,2023,1,Karnataka,Belagavi,Rural Development,MGNREGS,District,Department,Belagavi,Rural Development - MGNREGS,6360366.26,5866165.8,0.9223,494200.46
16,2023,1,Karnataka,Belagavi,Social Welfare,PMAY,Central,State,Central Government,Karnataka,5794192.59,5640067.07,0.9734,154125.52
17,2023,1,Karnataka,Belagavi,Social Welfare,PMAY,State,District,Karnataka,Belagavi,5376408.48,5308665.73,0.9874,67742.75
18,2023,1,Karnataka,Belagavi,Social Welfare,PMAY,District,Department,Belagavi,Social Welfare - PMAY,5299543.33,5089681.41,0.9604,209861.92
19,2023,1,Karnataka,Belagavi,Urban Development,AMRUT,Central,State,Central Government,Karnataka,5191422.54,5046062.71,0.972,145359.83
20,2023,1,Karnataka,Belagavi,Urban Development,AMRUT,State,District,Karnataka,Belagavi,4966393.71,4777670.75,0.962,188722.96
21,2023,1,Karnataka,Belagavi,Urban Development,AMRUT,District,Department,Belagavi,Urban Development - AMRUT,4567940.14,4315789.84,0.9448,252150.3
22,2023,1,Karnataka,Belagavi,Water Supply,JJM,Central,State,Central Government,Karnataka,5024318.79,4965031.83,0.9882,59286.96
23,2023,1,Karnataka,Belagavi,Water Supply,JJM,State,District,Karnataka,Belagavi,4781022.78,4652413.27,0.9731,128609.51
24,2023,1,Karnataka,Belagavi,Water Supply,JJM,District,Department,Belagavi,Water Supply - JJM,4492303.04,4249718.68,0.946,242584.36
25,2023,1,Karnataka,Bengaluru,Agriculture,PMKSY,Central,State,Central Government,Karnataka,5755950.61,5604569.11,0.9737,151381.5
26,2023,1,Karnataka,Bengaluru,Agriculture,PMKSY,State,District,Karnataka,Bengaluru,5596045.86,5477409.69,0.9788,118636.17
27,2023,1,Karnataka,Bengaluru,Agriculture,PMKSY,District,Department,Bengaluru,Agriculture - PMKSY,5460840.24,5268072.58,0.9647,192767.66
28,2023,1,Karnataka,Bengaluru,Education,SSA,Central,State,Central Government,Karnataka,6209265.73,6137238.25,0.9884,72027.48
29,2023,1,Karnataka,Bengaluru,Education,SSA,State,District,Karnataka,Bengaluru,5857531.32,5563483.25,0.9498,294048.07
30,2023,1,Karnataka,Bengaluru,Education,SSA,District,Department,Bengaluru,Education - SSA,5297890.15,4960414.55,0.9363,337475.6
31,2023,1,Karnataka,Bengaluru,Health,NHM,Central,State,Central Government,Karnataka,7154739.67,6978733.07,0.9754,176006.6
32,2023,1,Karnataka,Bengaluru,Health,NHM,State,District,Karnataka,Bengaluru,6918973.31,6626992.64,0.9578,291980.67
